,n,k,n_changes_eadam,n_matches
614,2000,8,526,1902
615,2000,8,584,1902
616,2000,8,510,1903
617,2000,8,444,1898
618,2000,8,514,1895
619,2000,8,464,1901
620,2000,8,566,1909
621,2000,8,588,1899
622,2000,8,624,1901
623,2000,8,562,1905
624,2000,8,574,1912
625,2000,8,566,1903
626,2000,8,684,1892
627,2000,8,520,1900
628,2000,8,584,1906
629,2000,8,602,1900
630,2000,8,650,1896
631,2000,8,426,1910
632,2000,8,618,1909
633,2000,8,570,1902
634,2000,8,564,1889
635,2000,8,628,1898
636,2000,8,608,1909
637,2000,8,434,1908
638,2000,8,574,1904
639,2000,8,662,1905
640,2000,8,572,1904
641,2000,8,540,1898
642,2000,8,514,1890
643,2000,8,546,1909
644,2000,8,636,1898
645,2000,8,632,1900
646,2000,8,576,1910
647,2000,8,504,1913
648,2000,8,462,1900
649,2000,8,640,1908
650,2000,8,612,1908
651,2000,8,566,1904
652,2000,8,594,1905
653,2000,8,468,1910
654,2000,8,670,1911
655,2000,8,658,1903
656,2000,8,550,1906
657,2000,8,598,1905
658,2000,8,668,1899
659,2000,8,718,1899
660,2000,8,498,1903
661,2000,8,488,1908
662,2000,8,560,1905
663,2000,8,642,1900
664,2000,8,506,1897
665,2000,8,538,1911
666,2000,8,612,1907
667,2000,8,594,1900
668,2000,8,700,1911
669,2000,8,568,1895
670,2000,8,506,1904
671,2000,8,600,1909
672,2000,8,554,1913
673,2000,8,532,1895
674,2000,8,512,1905
675,2000,8,618,1905
676,2000,8,502,1906
677,2000,8,518,1907
678,2000,8,636,1905
679,2000,8,596,1914
680,2000,8,400,1894
681,2000,8,544,1905
682,2000,8,556,1901
683,2000,8,468,1911
684,2000,8,566,1911
685,2000,8,698,1895
686,2000,8,358,1897
687,2000,8,634,1900
688,2000,8,422,1895
689,2000,8,522,1906
690,2000,8,668,1902
691,2000,8,684,1900
692,2000,8,586,1902
693,2000,8,410,1913
694,2000,8,544,1906
695,2000,8,656,1900
696,2000,8,566,1902
697,2000,8,526,1907
698,2000,8,526,1903
699,2000,8,610,1902
700,2000,8,550,1906
701,2000,8,462,1901
702,2000,8,670,1906
703,2000,8,518,1897
704,2000,8,622,1911
705,2000,8,552,1903
706,2000,8,472,1897
707,2000,8,610,1903
708,2000,8,818,1907
709,2000,8,548,1903
710,2000,8,564,1896
711,2000,8,640,1902
712,2000,8,490,1910
713,2000,8,528,1900
714,2000,8,472,1904
715,2000,8,424,1898
716,2000,8,478,1904
717,2000,8,504,1896
718,2000,8,608,1900
719,2000,8,650,1898
720,2000,8,544,1907
721,2000,8,514,1904
722,2000,8,424,1905
723,2000,8,590,1892
724,2000,8,536,1911
725,2000,8,450,1906
726,2000,8,696,1900
727,2000,8,504,1905
728,2000,8,616,1909
729,2000,8,648,1910
730,2000,8,450,1896
731,2000,8,372,1899
732,2000,8,750,1910
733,2000,8,528,1913
734,2000,8,526,1902
735,2000,8,666,1900
736,2000,8,580,1911
737,2000,8,318,1905
738,2000,8,490,1899
739,2000,8,578,1908
740,2000,8,600,1908
741,2000,8,566,1909
742,2000,8,456,1895
743,2000,8,434,1896
744,2000,8,552,1895
745,2000,8,748,1903
746,2000,8,470,1896
747,2000,8,570,1907
748,2000,8,692,1895
749,2000,8,572,1912
750,2000,8,480,1900
751,2000,8,606,1910
752,2000,8,568,1897
753,2000,8,688,1899
754,2000,8,670,1907
755,2000,8,538,1907
756,2000,8,594,1904
757,2000,8,550,1903
758,2000,8,626,1907
759,2000,8,586,1904
760,2000,8,624,1905
761,2000,8,644,1889
762,2000,8,512,1899
763,2000,8,464,1905
764,2000,8,458,1888
765,2000,8,656,1903
766,2000,8,544,1902
767,2000,8,386,1900
768,2000,8,450,1893
769,2000,8,442,1907
770,2000,8,650,1899
771,2000,8,508,1908
772,2000,8,568,1904
773,2000,8,420,1896
774,2000,8,568,1904
775,2000,8,522,1907
776,2000,8,564,1906
777,2000,8,594,1909
778,2000,8,600,1899
779,2000,8,510,1911
780,2000,8,494,1902
781,2000,8,596,1906
782,2000,8,576,1903
783,2000,8,494,1898
784,2000,8,508,1899
785,2000,8,594,1905
786,2000,8,536,1910
787,2000,8,608,1906
788,2000,8,512,1894
789,2000,8,554,1896
790,2000,8,452,1902
791,2000,8,574,1910
792,2000,8,690,1907
793,2000,8,664,1909
794,2000,8,546,1910
795,2000,8,626,1904
796,2000,8,640,1895
797,2000,8,406,1910
798,2000,8,608,1912
799,2000,8,580,1901
800,2000,8,536,1905
801,2000,8,712,1916
802,2000,8,570,1897
803,2000,8,470,1910
804,2000,8,452,1900
805,2000,8,506,1911
806,2000,8,486,1900
807,2000,8,450,1901
808,2000,8,672,1908
809,2000,8,458,1900
810,2000,8,670,1905
811,2000,8,620,1900
812,2000,8,658,1905
813,2000,8,500,1903
814,2000,8,454,1893
815,2000,8,642,1911
816,2000,8,530,1910
817,2000,8,478,1896
818,2000,8,656,1905
819,2000,8,542,1908
820,2000,8,574,1904
821,2000,8,572,1912
822,2000,8,776,1899
823,2000,8,606,1904
824,2000,8,534,1910
825,2000,8,548,1911
826,2000,8,500,1900
827,2000,8,696,1902
828,2000,8,516,1899
829,2000,8,408,1898
830,2000,8,574,1897
831,2000,8,702,1911
832,2000,8,686,1906
833,2000,8,382,1891
834,2000,8,532,1901
835,2000,8,496,1896
836,2000,8,628,1897
837,2000,8,608,1911
838,2000,8,554,1902
839,2000,8,470,1896
840,2000,8,542,1903
841,2000,8,458,1893
842,2000,8,708,1904
843,2000,8,678,1902
844,2000,8,680,1911
845,2000,8,602,1904
846,2000,8,682,1906
847,2000,8,576,1907
848,2000,8,610,1896
849,2000,8,548,1910
850,2000,8,416,1906
851,2000,8,544,1905
852,2000,8,590,1905
853,2000,8,514,1894
854,2000,8,512,1903
855,2000,8,516,1899
856,2000,8,576,1903
857,2000,8,534,1909
858,2000,8,596,1908
859,2000,8,614,1892
860,2000,8,562,1904
861,2000,8,624,1899
862,2000,8,584,1902
863,2000,8,574,1900
864,2000,8,516,1900
865,2000,8,556,1902
866,2000,8,502,1899
867,2000,8,638,1881
868,2000,8,442,1902
869,2000,8,568,1896
870,2000,8,644,1896
871,2000,8,602,1908
872,2000,8,622,1903
873,2000,8,424,1911
874,2000,8,642,1908
875,2000,8,612,1905
876,2000,8,640,1893
877,2000,8,462,1900
878,2000,8,632,1911
879,2000,8,648,1903
880,2000,8,434,1905
881,2000,8,618,1890
882,2000,8,496,1930
883,2000,8,560,1903
884,2000,8,636,1904
885,2000,8,636,1905
886,2000,8,472,1901
887,2000,8,654,1899
888,2000,8,556,1901
889,2000,8,592,1903
890,2000,8,494,1906
891,2000,8,540,1898
892,2000,8,672,1910
893,2000,8,504,1889
894,2000,8,514,1895
895,2000,8,720,1912
896,2000,8,626,1889
897,2000,8,612,1902
898,2000,8,362,1906
899,2000,8,566,1923
900,2000,8,668,1891
901,2000,8,550,1900
902,2000,8,502,1908
903,2000,8,462,1899
904,2000,8,610,1909
905,2000,8,506,1902
906,2000,8,634,1906
907,2000,8,654,1906
908,2000,8,548,1911
909,2000,8,494,1905
910,2000,8,374,1907
911,2000,8,610,1896
912,2000,8,596,1908
913,2000,8,554,1907
914,2000,8,530,1905
915,2000,8,604,1910
916,2000,8,636,1900
917,2000,8,496,1901
918,2000,8,478,1903
919,2000,8,516,1901
920,2000,8,618,1904
921,2000,8,594,1900
922,2000,8,488,1902
923,2000,8,484,1912
924,2000,8,524,1901
925,2000,8,546,1895
926,2000,8,608,1905
927,2000,8,566,1907
928,2000,8,546,1906
929,2000,8,610,1907
930,2000,8,634,1898
931,2000,8,556,1912
932,2000,8,552,1896
933,2000,8,550,1908
934,2000,8,556,1895
935,2000,8,438,1899
936,2000,8,594,1891
937,2000,8,638,1908
938,2000,8,580,1905
939,2000,8,694,1904
940,2000,8,564,1901
941,2000,8,622,1909
942,2000,8,504,1902
943,2000,8,700,1903
944,2000,8,688,1902
945,2000,8,456,1904
946,2000,8,532,1899
947,2000,8,468,1899
948,2000,8,570,1903
949,2000,8,568,1894
950,2000,8,662,1900
951,2000,8,478,1895
952,2000,8,548,1893
953,2000,8,604,1902
954,2000,8,486,1907
955,2000,8,588,1911
956,2000,8,706,1899
957,2000,8,668,1898
958,2000,8,510,1897
959,2000,8,412,1909
960,2000,8,690,1904
961,2000,8,570,1905
962,2000,8,556,1895
963,2000,8,640,1902
964,2000,8,622,1901
965,2000,8,652,1900
966,2000,8,682,1898
967,2000,8,588,1906
968,2000,8,530,1906
969,2000,8,368,1898
970,2000,8,528,1904
971,2000,8,496,1904
972,2000,8,578,1905
973,2000,8,574,1894
974,2000,8,458,1908
975,2000,8,506,1906
976,2000,8,486,1904
977,2000,8,566,1894
978,2000,8,478,1904
979,2000,8,546,1901
980,2000,8,472,1893
981,2000,8,544,1908
982,2000,8,446,1911
983,2000,8,586,1897
984,2000,8,490,1900
985,2000,8,610,1909
986,2000,8,526,1907
987,2000,8,658,1913
988,2000,8,554,1900
989,2000,8,480,1914
990,2000,8,558,1909
991,2000,8,646,1900
992,2000,8,494,1890
993,2000,8,570,1900
994,2000,8,588,1903
995,2000,8,602,1905
996,2000,8,540,1898
997,2000,8,588,1906
998,2000,8,604,1900
999,2000,8,598,1901
