,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
8792,1000,5,5,0.0055248618784530384
8793,1000,5,12,0.013333333333333334
8794,1000,5,3,0.0033333333333333335
8795,1000,5,26,0.02866593164277839
8796,1000,5,5,0.005512679162072767
8797,1000,5,3,0.0033076074972436605
8798,1000,5,2,0.002205071664829107
8799,1000,5,2,0.002205071664829107
8800,1000,5,26,0.02854006586169045
8801,1000,5,10,0.010976948408342482
8802,1000,5,17,0.018660812294182216
8803,1000,5,4,0.0043907793633369925
8804,1000,5,4,0.0043907793633369925
8805,1000,5,11,0.012008733624454149
8806,1000,5,6,0.006550218340611353
8807,1000,5,2,0.002183406113537118
8808,1000,5,6,0.006550218340611353
8809,1000,5,5,0.0054585152838427945
8810,1000,5,10,0.01095290251916758
8811,1000,5,3,0.0033076074972436605
8812,1000,5,2,0.002205071664829107
8813,1000,5,6,0.006615214994487321
8814,1000,5,5,0.005512679162072767
8815,1000,5,8,0.008686210640608035
8816,1000,5,3,0.003257328990228013
8817,1000,5,9,0.009922822491730982
8818,1000,5,8,0.008820286659316428
8819,1000,5,21,0.023178807947019868
8820,1000,5,10,0.011037527593818985
8821,1000,5,10,0.011037527593818985
8822,1000,5,14,0.01545253863134658
8823,1000,5,7,0.00772626931567329
8824,1000,5,4,0.004415011037527594
8825,1000,5,25,0.027472527472527472
8826,1000,5,7,0.007692307692307693
8827,1000,5,8,0.00881057268722467
8828,1000,5,4,0.004405286343612335
8829,1000,5,7,0.007709251101321586
8830,1000,5,24,0.02643171806167401
8831,1000,5,3,0.0032967032967032967
8832,1000,5,3,0.0032967032967032967
8833,1000,5,2,0.002197802197802198
8834,1000,5,3,0.0032967032967032967
8835,1000,5,3,0.0032967032967032967
8836,1000,5,3,0.003303964757709251
8837,1000,5,3,0.003303964757709251
8838,1000,5,19,0.02101769911504425
8839,1000,5,9,0.00995575221238938
8840,1000,5,22,0.02412280701754386
8841,1000,5,2,0.0021929824561403508
8842,1000,5,13,0.01425438596491228
8843,1000,5,7,0.007700770077007701
8844,1000,5,3,0.0033003300330033004
8845,1000,5,8,0.0088008800880088
8846,1000,5,10,0.011001100110011002
8847,1000,5,3,0.0033003300330033004
